service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2017/07/01 04:00:00+00,Bus,Bus,6928955,329950,21,8661443,279401,31,1
2017/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2698676,134934,20,2644878,85319,31,2
2017/07/01 04:00:00+00,Rail,Green Line,3626476,181324,20,4821551.930000003,155534,31,3
2017/07/01 04:00:00+00,Rail,Orange Line,4067013,203351,20,5096206.17,164394,31,4
2017/07/01 04:00:00+00,Rail,Red Line,5145860,257293,20,6456710.2,208281,31,5
2017/07/01 04:00:00+00,Bus,Silver Line,760559,36217,21,944674,30473,31,6
2017/07/01 04:00:00+00,The RIDE,The RIDE,128361,6418,20,160754,5186,31,7
2017/07/01 04:00:00+00,Rail,Blue Line,1389657,69483,20,1882494.5,60726,31,8
2017/07/01 04:00:00+00,Ferry,Boat-F1,70720,3536,20,,,31,9
2017/08/01 04:00:00+00,Rail,Blue Line,1577814,68601,23,1910350.2,61624,31,10
2017/08/01 04:00:00+00,Ferry,Boat-F1,82468,3586,23,,,31,11
2017/08/01 04:00:00+00,Ferry,Boat-F3,43125,1875,23,,,31,12
2017/08/01 04:00:00+00,Ferry,Boat-F4,36977,1849,20,,,31,13
2017/08/01 04:00:00+00,Bus,Bus,7518350,326885,23,8927405,287981,31,14
2017/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2867065,124655,23,2926175,94393,31,15
2017/08/01 04:00:00+00,Rail,Green Line,3982377,173147,23,4792516.38,154597,31,16
2017/08/01 04:00:00+00,Rail,Orange Line,4586310,199405,23,5326273.46,171815,31,17
2017/08/01 04:00:00+00,Rail,Red Line,5763699,250596,23,6692491.4,215887,31,18
2017/08/01 04:00:00+00,Bus,Silver Line,788706,34292,23,932853,30092,31,19
2017/08/01 04:00:00+00,The RIDE,The RIDE,149390,6495,23,173923,5610,31,20
2017/09/01 04:00:00+00,Rail,Blue Line,1434393,71720,20,1843973.6,61466,30,21
2017/09/01 04:00:00+00,Ferry,Boat-F1,69395,3470,20,,,30,22
2017/09/01 04:00:00+00,Ferry,Boat-F3,25149,1257,20,,,30,23
2017/09/01 04:00:00+00,Ferry,Boat-F4,26195,1310,20,,,30,24
2017/09/01 04:00:00+00,Bus,Bus,7400408,370020,20,9089873,302995,30,25
2017/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2526284,126314,20,3193780,106459,30,26
2017/09/01 04:00:00+00,Rail,Green Line,3968313,198416,20,5179945.72,172665,30,27
2017/09/01 04:00:00+00,Rail,Orange Line,4413644,220682,20,5334998.9,177833,30,28
2017/09/01 04:00:00+00,Rail,Red Line,5385669,269283,20,6584520.4,219484,30,29
